samp1,samp2,es,sd1,sd2,mean(Method1),mean(Method2),"pVal(Method1, Method2)",typeI,sig
15,60,0.5,0.25,1,0.855,0.286,5.65E-123,FALSE,TRUE
105,60,0.5,0.25,1,0.122,0.226,1.24E-21,FALSE,TRUE
60,60,0.8,0.25,1,0.008,0.008,1,FALSE,FALSE
45,60,0.8,0.25,1,0.021,0.013,1,FALSE,FALSE
75,60,0.8,0.25,1,0.001,0.005,1,FALSE,FALSE
30,60,0.8,0.25,1,0.063,0.01,2.05E-10,FALSE,TRUE
90,60,0.8,0.25,1,0.002,0.007,1,FALSE,FALSE
15,60,0.8,0.25,1,0.342,0.021,5.35E-69,FALSE,TRUE
105,60,0.8,0.25,1,0.001,0.008,1,FALSE,FALSE
60,60,0,1.75,1,0.045,0.045,1,TRUE,FALSE
45,60,0,1.75,1,0.068,0.049,0.008144182,TRUE,TRUE
75,60,0,1.75,1,0.051,0.064,0.195795535,TRUE,FALSE
30,60,0,1.75,1,0.08,0.035,1.21E-08,TRUE,TRUE
90,60,0,1.75,1,0.033,0.051,0.013778439,TRUE,TRUE
15,60,0,1.75,1,0.179,0.053,1.88E-26,TRUE,TRUE
105,60,0,1.75,1,0.023,0.047,0.000597622,TRUE,TRUE
60,60,0.2,1.75,1,0.821,0.823,1,FALSE,FALSE
45,60,0.2,1.75,1,0.792,0.831,2.61E-07,FALSE,TRUE
75,60,0.2,1.75,1,0.784,0.754,2.67E-05,FALSE,TRUE
30,60,0.2,1.75,1,0.776,0.87,1.93E-19,FALSE,TRUE
90,60,0.2,1.75,1,0.818,0.746,1.32E-14,FALSE,TRUE
15,60,0.2,1.75,1,0.781,0.906,3.11E-26,FALSE,TRUE
105,60,0.2,1.75,1,0.82,0.729,8.79E-19,FALSE,TRUE
60,60,0.5,1.75,1,0.228,0.228,1,FALSE,FALSE
45,60,0.5,1.75,1,0.292,0.341,1.57E-09,FALSE,TRUE
75,60,0.5,1.75,1,0.171,0.146,0.000355411,FALSE,TRUE
30,60,0.5,1.75,1,0.359,0.472,1.32E-23,FALSE,TRUE
90,60,0.5,1.75,1,0.162,0.119,3.37E-08,FALSE,TRUE
15,60,0.5,1.75,1,0.47,0.701,2.20E-49,FALSE,TRUE
105,60,0.5,1.75,1,0.157,0.087,3.64E-14,FALSE,TRUE
60,60,0.8,1.75,1,0.013,0.013,1,FALSE,FALSE
45,60,0.8,1.75,1,0.019,0.028,1,FALSE,FALSE
75,60,0.8,1.75,1,0.002,0.002,1,FALSE,FALSE
30,60,0.8,1.75,1,0.05,0.101,5.68E-10,FALSE,TRUE
90,60,0.8,1.75,1,0.002,0.002,1,FALSE,FALSE
15,60,0.8,1.75,1,0.162,0.357,1.57E-41,FALSE,TRUE
105,60,0.8,1.75,1,0,0,1,FALSE,FALSE
60,60,0,3,1,0.05,0.048,1,TRUE,FALSE
45,60,0,3,1,0.071,0.041,2.67E-05,TRUE,TRUE
75,60,0,3,1,0.028,0.053,0.000355411,TRUE,TRUE
30,60,0,3,1,0.147,0.052,1.17E-19,TRUE,TRUE
90,60,0,3,1,0.024,0.051,0.000125977,TRUE,TRUE
15,60,0,3,1,0.265,0.049,4.12E-46,TRUE,TRUE
105,60,0,3,1,0.014,0.047,5.69E-06,TRUE,TRUE
60,60,0.2,3,1,0.814,0.816,1,FALSE,FALSE
45,60,0.2,3,1,0.79,0.856,2.77E-13,FALSE,TRUE
75,60,0.2,3,1,0.828,0.777,5.68E-10,FALSE,TRUE
30,60,0.2,3,1,0.758,0.882,5.15E-26,FALSE,TRUE
90,60,0.2,3,1,0.842,0.748,1.93E-19,FALSE,TRUE
15,60,0.2,3,1,0.677,0.913,1.79E-50,FALSE,TRUE
105,60,0.2,3,1,0.862,0.718,2.17E-30,FALSE,TRUE
60,60,0.5,3,1,0.235,0.237,1,FALSE,FALSE
